og_idx,Subject,CommitId,Author,Date,link,affected_class,#affected_files,Log message,Refactoring parent category 2,Refactoring parent category 1,Refactoring category,Representative refactoring category,Abbreviation,Is ML-specific refactoring category?,ML technical debt category,Is new technical debt category?,In ML-related code?
259,modernmt/modernmt,c70cd779,Davide Caroselli,2019-05-13 15:38:22 +0200,https://github.com/modernmt/modernmt/commit/c70cd779,src/decoder-neural/src/main/python/mmt/decoder.py,1,Small code refactoring in python Decoder,,Generic,Reorganization,Reorganization,ORG,FALSE,Configuration,FALSE,TRUE
297,fiji/Trainable_Segmentation,752235e,Ignacio Arganda Carreras,2010-12-06 12:10:25 -0500,https://github.com/fiji/Trainable_Segmentation/commit/752235e,ai/GiniFunction.java,1,Balanced Random Forest: refactored GiniFunction in order to increase the spped. The inner class AttributeClassPair is now extern and the comparator is static.,,Generic,Clean up,Clean up,CLN,FALSE,,,FALSE
299,vespa-engine/vespa,08cb105294,gjoranv,2017-07-19 12:12:21 +0200,https://github.com/vespa-engine/vespa/commit/08cb105294,config-lib/src/main/java/com/yahoo/config/LeafNodeVector.java,1,Refactor LeafNodeVector,,Generic,Clean up,Clean up,CLN,FALSE,,,FALSE
303,vespa-engine/vespa,1a5a822bcb,toby,2017-05-22 13:41:53 +0200,https://github.com/vespa-engine/vespa/commit/1a5a822bcb,node-repository/src/main/java/com/yahoo/vespa/hosted/provision/provisioning/GroupPreparer.java,1,Replace NodeList with the refactored NodeAllocation class,,Generic,Clean up,Clean up,CLN,FALSE,,,FALSE
307,vespa-engine/vespa,4ab17a2abf,Ilpo Ruotsalainen,2018-11-30 11:27:56 +0100,https://github.com/vespa-engine/vespa/commit/4ab17a2abf,abi-check-plugin/src/main/java/com/yahoo/abicheck/mojo/AbiCheck.java,1,Refactor to extract a method.,,Generic,Reorganization,Reorganization,ORG,FALSE,,,FALSE
313,vespa-engine/vespa,840ddab2e6,Jon Bratseth,2019-07-04 08:26:31 -0700,https://github.com/vespa-engine/vespa/commit/840ddab2e6,model-integration/src/main/java/ai/vespa/rankingexpression/importer/DimensionRenamer.java,1,Refactor out solving without soft constraints,Generic,Reorganization,Extract methods,Reorganization,ORG,FALSE,,,TRUE
314,vespa-engine/vespa,89d9cf538f,Bjørn Christian Seime,2017-06-19 12:49:17 +0200,https://github.com/vespa-engine/vespa/commit/89d9cf538f,configgen/src/main/java/com/yahoo/config/codegen/MakeConfig.java,1,Refactor logic for generating config into separate method,,Generic,Reorganization,Reorganization,ORG,FALSE,,,FALSE
319,vespa-engine/vespa,cfb1ae9d80,Ola Aunrønning,2019-10-04 13:16:57 +0200,https://github.com/vespa-engine/vespa/commit/cfb1ae9d80,controller-server/src/main/java/com/yahoo/vespa/hosted/controller/maintenance/ResourceMeterMaintainer.java,1,Refactoring,Generic,Reorganization,Extract methods,Reorganization,ORG,FALSE,,,FALSE
323,vespa-engine/vespa,dc9e53f291,Arne Juul,2019-11-26 08:45:40 +0000,https://github.com/vespa-engine/vespa/commit/dc9e53f291,searchlib/src/tests/queryeval/nearest_neighbor/nearest_neighbor_test.cpp,1,refactor and check with non-null tensor,Generic,Reorganization,Extract methods,Reorganization,ORG,FALSE,,,TRUE
,datacleaner/DataCleaner,59f39c7b9,Kasper Sørensen,2019-03-24 20:51:31 -0700,https://github.com/datacleaner/DataCleaner/commit/59f39c7b9,"components/machine-learning/src/main/java/org/datacleaner/components/machinelearning/RandomForestTrainingAnalyzer.java,components/machine-learning/src/main/java/org/datacleaner/components/machinelearning/MLTrainingAnalyzer.java",19,"Refactored components to have a ""Training analyzer"" per algorithm.",ML-specific,Reorganization,Push down hyperparameters,Push down hyperparameters,HYP,TRUE,Configuration,FALSE,TRUE
,elkielki-project/elki,3ba90d540,Erich Schubert,2014-06-30 15:21:16 +0000,https://github.com/elki-project/elki/commit/3ba90d540,src/experimentalcode/shared/algorithm/classifier/PriorProbabilityClassifier.java,5,Cleanup and refactor classification code.,,ML-specific,Replace primitives with rich prediction,Replace primitives with rich prediction,PRD,TRUE,Plain-old-data type,FALSE,TRUE
,elki-project/elki,5c3dcd350,Elke Achtert,2006-01-18 08:36:30 +0000,https://github.com/elki-project/elki/commit/5c3dcd350,src/de/lmu/ifi/dbs/featureextraction/image/ImageDescriptor.java,3,refactoring feature extraction for images,ML-specific,Improve comprehension,Make matrix variable names more verbose,Make matrix variable names more verbose,VRB,TRUE,Model code comprehension,TRUE,TRUE
,elki-project/elki,5c3dcd350,Elke Achtert,2006-01-18 08:36:30 +0000,https://github.com/elki-project/elki/commit/5c3dcd350,src/de/lmu/ifi/dbs/featureextraction/image/ImageDescriptor.java,3,refactoring feature extraction for images,,ML-specific,Monitor feature extraction progress,Monitor feature extraction progress,MON,TRUE,Monitoring and testing,FALSE,TRUE
,elki-project/elki,bec2abe39,Erich Schubert,2014-01-14 12:45:10 +0000,https://github.com/elki-project/elki/commit/bec2abe39,src/de/lmu/ifi/dbs/elki/algorithm/clustering/SNNClustering.java,12,"Remove support for binary, integer and float distances. This is a first step towards moving away from having objects for distances ever. Unfortunately, some algorithms (HiSC, DiSH, ERiC) still rely on this; this will need some careful refactoring of OPTICS, most likely.",,ML-specific,Replace rich model parameter with primitives,Replace rich model parameter with primitives,RMP,TRUE,Configuration,FALSE,TRUE
,elki-project/elki,d40d76aba,Erich Schubert,2012-01-11 14:57:59 +0000,https://github.com/elki-project/elki/commit/d40d76aba,src/de/lmu/ifi/dbs/elki/algorithm/clustering/kmeans/KMeansInitialization.java,9,Refactor K-means to support additional initializations. TODO: kmeans++,,ML-specific,Replace primitives with rich model parameter,Replace primitives with rich model parameter,PRM,TRUE,Plain-old-data type,FALSE,TRUE
,apache/mahout,3eba6f264,Jeff Eastman,2012-03-08 22:27:28 +0000,https://github.com/apache/mahout/commit/3eba6f264,"core/src/main/java/org/apache/mahout/clustering/iterator/AbstractClusteringPolicy.java,core/src/main/java/org/apache/mahout/clustering/iterator/KMeansClusteringPolicy.java,core/src/main/java/org/apache/mahout/clustering/iterator/DirichletClusteringPolicy.java,core/src/main/java/org/apache/mahout/clustering/iterator/MeanShiftClusteringPolicy.java,core/src/main/java/org/apache/mahout/clustering/iterator/CanopyClusteringPolicy.java,core/src/main/java/org/apache/mahout/clustering/iterator/FuzzyKMeansClusteringPolicy.java",18,MAHOUT-933: - refactored ClusteringPolicies into hierarchy under new AbstractClusteringPolicy - added close() to ClusteringPolicy to allow policy-specific actions needed to compute convergence - removed ClusteringPolicy from ClusterIterator constructor as ClusterClassifier already has one - added convergence computations for kmeans and fuzzyk - added final clustersOut renaming to add -final suffix - updated Display examples and unit tests to reflect above - all tests run,ML-specific,Reorganization,Pull up policy,Pull up policy,PLC,TRUE,Duplicate model code,TRUE,TRUE
,apache/mahout,e3fb0c4f3,Sebastian Schelter,2011-07-04 06:49:17 +0000,https://github.com/apache/mahout/commit/e3fb0c4f3,core/src/main/java/org/apache/mahout/classifier/naivebayes/NaiveBayesModel.java,27,MAHOUT-746 Refactoring of the parallel Naive Bayes implementation in org.apache.mahout.classifier.naivebayes,ML-specific,Improve performance,Replace with sparse matrix,Replace with sparse matrix,SMT,TRUE,Configuration,FALSE,TRUE
