,Subject,CommitId,Author,Date,link,affected_class,#affected_files,Log message,Refactoring parent category 2,Refactoring parent category 1,Refactoring category,Representative refactoring category,Abbreviation,Is ML-specific refactoring category?,ML technical debt category,Is new technical debt category?,In ML-related code?,cls_before,cls_after,first_commit,last_commit,RF_date,all_before,all_after,change_ratio_before,change_ratoi_after,2nd_ratio_before,2nd_ratio_after,bugs_before,bugs_after,bugs_ratio_before,bugs_ratio_after
20,deeplearning4j/deeplearning4j,f3e42173ef,shugeo,2019-10-02 16:51:09 +0300,https://github.com/deeplearning4j/deeplearning4j/commit/f3e42173ef,libnd4j/include/ops/declarable/generic/datatypes/bitcast.cpp,1,Refactored buffer copying to avoid wrong usage of buffers.,,Generic,Safety,Safety,SAF,False,Multiple languages,False,False,1,8,2019-10-02T12:04:59Z,2023-02-08T10:08:56Z,2019-10-02T13:51:09Z,2,2302,0.5,0.0035,115.2,0.8007,0,0,0.0,0.0
21,elastic/elasticsearch,c567ec4a0fe,Albert Zaharovits,2018-08-26 14:09:23 +0300,https://github.com/elastic/elasticsearch/commit/c567ec4a0fe,x-pack/plugin/security/src/main/java/org/elasticsearch/xpack/security/authc/support/CachingUsernamePasswordRealm.java,1,Refactor CachingUsernamePassword realm (#32646),,Generic,Clean up,Clean up,CLN,False,,,False,5,13,2018-04-20T22:29:54Z,2021-10-27T15:19:51Z,2018-08-26T11:09:23Z,2153,20447,0.0023,0.0006,2.7624,0.7563,0,0,0.0,0.0
22,elki-project/elki,84eff0d84,Erich Schubert,2013-07-30 09:02:19 +0000,https://github.com/elki-project/elki/commit/84eff0d84,src/de/lmu/ifi/dbs/elki/algorithm/outlier/COP.java,1,"Large refactoring of distribution estimators: moved to own package, instead of inner classes. Makes the available algorithms more visible.",ML-specific,Reorganization,Make algorithms more visible,Make algorithms more visible,VIZ,True,Model code comprehension,True,True,23,8,2009-03-03T09:31:38Z,2014-07-28T14:44:22Z,2013-07-30T09:02:19Z,4478,607,0.0051,0.0132,0.8162,2.0943,0,0,0.0,0.0
23,elki-project/elki,875ad4c47,Erich Schubert,2013-10-30 17:21:58 +0000,https://github.com/elki-project/elki/commit/875ad4c47,src/experimentalcode/shared/algorithm/clustering/biclustering/ChengAndChurch.java,1,Refactor & cleanup.,,ML-specific,Replace rich model parameter with primitives,Replace rich model parameter with primitives,RMP,True,Configuration,False,True,24,3,2009-10-05T12:30:25Z,2013-11-04T11:57:57Z,2013-10-30T17:21:58Z,3875,10,0.0062,0.3,0.8594,41.625,0,0,0.0,0.0
24,elki-project/elki,b3a1eb3c2,Elke Achtert,2006-09-06 08:15:00 +0000,https://github.com/elki-project/elki/commit/b3a1eb3c2,src/de/lmu/ifi/dbs/data/ParameterizationFunction.java,1,refactoring Hough algorithm,,ML-specific,Replace primitive array with matrix,Replace primitive array with matrix,AMT,True,Plain-old-data type,False,True,4,15,2006-08-28T07:37:02Z,2008-07-02T11:40:01Z,2006-09-06T08:15:00Z,17,602,0.2353,0.0249,7.2824,0.7712,1,1,0.25,0.0667
25,elki-project/elki,e54bcc232,Erich Schubert,2014-06-30 17:06:05 +0000,https://github.com/elki-project/elki/commit/e54bcc232,src/experimentalcode/shared/evaluation/classifier/ConfusionMatrixBasedEvaluation.java,1,Cleanup and refactor classification code.,,Generic,Clean up,Clean up,CLN,False,,,True,10,3,2009-05-20T12:51:02Z,2014-10-24T23:27:35Z,2014-06-30T17:06:05Z,4713,146,0.0021,0.0205,0.7364,7.1316,0,0,0.0,0.0
26,elki-project/elki,eb1320292,Erich Schubert,2009-01-09 13:44:35 +0000,https://github.com/elki-project/elki/commit/eb1320292,src/de/lmu/ifi/dbs/elki/distance/similarityfunction/SharedNearestNeighborSimilarityFunction.java,1,"Code refactoring, to allow code reuse in other SNN functions",Generic,Reorganization,Make more reusable,Make more reusable,RUS,False,Model code reusability,True,True,9,41,2008-07-02T11:40:01Z,2014-07-28T14:44:22Z,2009-01-09T13:44:35Z,348,5181,0.0259,0.0079,2.8038,0.8579,1,0,0.1111,0.0
27,knime/knime-core,1c71ec591a,Adrian Nembach,2017-10-24 11:35:22 +0200,https://github.com/knime/knime-core/commit/1c71ec591a,org.knime.base.treeensembles2/src/org/knime/base/node/mine/treeensemble2/node/gradientboosting/predictor/pmml/GradientBoostingPMMLPredictorNodeModel.java,1,AP-7917: Refactor GBT PMML Predictor node to accept classification model,Generic,Generalization,Make more extensible,Make more extensible,EXT,False,Model code modifiability,True,True,2,14,2017-11-13T20:42:17Z,2018-12-21T08:16:01Z,2017-11-13T20:42:17Z,110,1294,0.0182,0.0108,1.5016,0.8935,1,0,0.5,0.0
28,knime/knime-core,ab9c77b0f8,Adrian Nembach,2018-03-21 10:19:35 +0100,https://github.com/knime/knime-core/commit/ab9c77b0f8,org.knime.base/src/org/knime/base/node/mine/regression/predict3/LogRegPredictor.java,1,AP-8977: Refactor LogRegPredictor to avoid second pass over row,,Generic,Improve performance,Improve performance,PRF,False,,,True,7,1,2017-09-14T19:22:03Z,2018-12-21T08:16:01Z,2018-03-23T12:47:25Z,787,903,0.0089,0.0011,1.6702,0.2079,0,0,0.0,0.0
29,universal-automata/liblevenshtein-java,a5cc961,Dylon Edwards,2014-04-05 22:26:55 -0700,https://github.com/universal-automata/liblevenshtein-java/commit/a5cc961,src/main/java/com/github/dylon/liblevenshtein/collection/dawg/SortedDawg.java,1,"Refactors the SortedDawg to accept terms post-construction, if they are lexicographically, monotonically non-decreasing and none are lexicographically less than the previously-added term",,Generic,Dead code elimination,Dead code elimination,DED,False,,,False,2,18,2014-04-06T04:08:05Z,2016-05-06T02:41:03Z,2014-04-06T05:26:55Z,7,150,0.2857,0.12,2.1361,0.8971,3,0,1.5,0.0
